번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
94,2695,여치의 일생,교육문화사,교육문화사,1999,408 하68ㄱ v.39,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
95,2696,사슴 벌레,교육문화사,교육문화사,1999,408 하68ㄱ v.40,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
96,2697,매미의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.41,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
97,2698,메뚜기의 한 해,교육문화사,교육문화사,1999,408 하68ㄱ v.42,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
98,2700,여러가지 버섯,교육문화사,교육문화사,1999,408 하68ㄱ v.44,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
99,2701,귀뚜라미의 신비,교육문화사,교육문화사,1999,408 하68ㄱ v.45,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
100,2702,고양이의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.46,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
101,2703,가을. 겨울 별자리,교육문화사,교육문화사,1999,408 하68ㄱ v.47,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
102,2704,다람쥐의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.48,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
103,2705,코끼리 가족,교육문화사,교육문화사,1999,408 하68ㄱ v.49,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
104,2706,코알라. 캥거루,교육문화사,교육문화사,1999,408 하68ㄱ v.50,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
105,2707,원숭이 가족,교육문화사,교육문화사,1999,408 하68ㄱ v.51,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
106,2708,박쥐의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.52,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
107,2709,벌들의 종류,교육문화사,교육문화사,1999,408 하68ㄱ v.53,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
